trialCode,trialAcronym,trialTitle,trialUrl,trialPhase,trialStatus,trialCompletionDate
NCT00000190,,"Cocaine in Parotid Saliva, Blood and Urine - 4",https://www.clinicaltrials.gov/ct2/show/NCT00000190,Phase 1,Completed,2/1/1992
NCT00000632,,A Phase I Clinical Trial to Evaluate the Safety and Immunogenicity of 100 mcg of Env 2-3 in MF59,https://www.clinicaltrials.gov/ct2/show/NCT00000632,Phase 1,Completed,5/1/1992
NCT00000716,,A Multicenter Trial To Evaluate Oral Retrovir in the Treatment of Children With Symptomatic HIV Infection,https://www.clinicaltrials.gov/ct2/show/NCT00000716,Phase 2,Completed,
NCT00000915,,An HIV Vaccine Preparedness Study,https://www.clinicaltrials.gov/ct2/show/NCT00000915,Not Applicable,Completed,
NCT00001218,,Development of Normative Ultrasound Databases of Tongue Surface Configuration,https://www.clinicaltrials.gov/ct2/show/NCT00001218,,Completed,1/1/2001
NCT00001237,,Pilot Protocol for the Treatment of Patients With Small Non-Cleaved and Diffuse Large Cell Lymphomas,https://www.clinicaltrials.gov/ct2/show/NCT00001237,Phase 2,Completed,4/1/2000
NCT00001265,,Study and Treatment of Inflammatory Muscle Diseases,https://www.clinicaltrials.gov/ct2/show/NCT00001265,,Recruiting,
NCT00001327,,Establishing the Physiology of Syringomyelia,https://www.clinicaltrials.gov/ct2/show/NCT00001327,,Completed,3/31/2011
NCT00001478,,Effects of Drugs on Cerebral Blood Flow in Patients With Mood Disorders,https://www.clinicaltrials.gov/ct2/show/NCT00001478,,Completed,1/1/2001
NCT00001761,,Phase I Trial of Recombinant Human Interleukin-10 (SCH 52000) in Patients With Wegener's Granulomatosis,https://www.clinicaltrials.gov/ct2/show/NCT00001761,Phase 1,Completed,4/1/2000
NCT00001790,,"Phase I Study of the Safety, Tolerance, and Pharmacokinetics of FK463 in Immunocompromised Children With Fever and Neutropenia",https://www.clinicaltrials.gov/ct2/show/NCT00001790,Phase 1,Completed,9/1/2000
NCT00001866,,Eye Muscle Surgery to Treat Congenital Nystagmus,https://www.clinicaltrials.gov/ct2/show/NCT00001866,Phase 2,Completed,11/1/2001
NCT00002248,,"A Randomized, Multicenter, Double-Blind, Parallel-Group, Placebo-Controlled Trial of the Efficacy and Safety of Bovine Anti-Cryptosporidium Immunoglobulin (BACI) in the Treatment of Cryptosporidium Enteritis in AIDS Patients",https://www.clinicaltrials.gov/ct2/show/NCT00002248,Phase 1,Completed,
NCT00002395,,Safety and Effectiveness of Topotecan HCl to Treat HIV-Infected Patients With AIDS-Related Progressive Multifocal Leukoencephalopathy (PML),https://www.clinicaltrials.gov/ct2/show/NCT00002395,Phase 2,Completed,
NCT00002593,,S9415 Chemotherapy in Patients With Stage II or III Colon Cancer That Has Been Surgically Removed,https://www.clinicaltrials.gov/ct2/show/NCT00002593,Phase 3,Completed,3/1/2005
NCT00003137,,Irinotecan in Treating Patients With Advanced Cancer of the Stomach,https://www.clinicaltrials.gov/ct2/show/NCT00003137,Phase 2,Completed,7/1/2004
NCT00003645,,Randomized Trial of Adjuvant Hormonal Therapy in Surgically Treated Prostate Cancer Patients at High Risk for Recurrence,https://www.clinicaltrials.gov/ct2/show/NCT00003645,Phase 3,Terminated,3/20/2017
NCT00003700,,Combination Chemotherapy in Treating Patients With Untreated Acute Lymphoblastic Leukemia,https://www.clinicaltrials.gov/ct2/show/NCT00003700,Phase 2,Completed,1/1/2010
NCT00003835,,Combination Chemotherapy in Treating Patients With Stage III Colon Cancer,https://www.clinicaltrials.gov/ct2/show/NCT00003835,Phase 3,Completed,
NCT00003923,,"Photodynamic Therapy in Treating Patients With Cancer of the Bile Duct, Gallbladder, or Pancreas",https://www.clinicaltrials.gov/ct2/show/NCT00003923,Phase 2,Completed,2/1/2002
